Collision,Mass_1_kg,Mass_2_kg,Init_Vel_1x_ms,Init_Vel_1y_ms,Init_Vel_2x_ms,Init_Vel_2y_ms,Final_Vel_1x_ms,Final_Vel_1y_ms,Final_Vel_2x_ms,Final_Vel_2y_ms
Elastic 1,0.50,1.50,3.00,0.00,0.00,0.00,-1.50,0.00,1.50,0.00
Elastic 2,1.00,1.00,0.76,0.70,-0.74,0.07,-0.62,-0.13,0.64,0.90
Elastic 3,0.10,3.00,0.33,0.00,-3.00,0.01,-6.11,0.12,-2.79,0.01
